着順,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重（増減）,調教師,人気,降水量(合計),気温(平均),風速(平均),風向(最多)
2019/10/5,1R,,,,,,,,,,,,
1,1,マルガイオーロラテソーロ,牡2,55,大野 拓弥,36.7,484(0),畠山 吉宏,2,0,25.5,1.9,南
2,7,マルガイダブリナーズ,牡2,52,▲岩田 望来,37.7,464(-4),藤原 英昭,4,0,25.5,1.9,南
3,10,ニシノホライゾン,牡2,55,内田 博幸,38.2,494(-6),的場 均,1,0,25.5,1.9,南
4,11,シゲルタイタン,牡2,55,三浦 皇成,37.7,470(-8),伊藤 圭三,5,0,25.5,1.9,南
5,5,ボマライン,牡2,55,石橋 脩,39.5,458(-6),田村 康仁,3,0,25.5,1.9,南
6,6,ディーカラーズ,牡2,53,△木幡 育也,39.1,480(-12),高橋 祥泰,6,0,25.5,1.9,南
7,8,タマサイ,牝2,54,杉原 誠人,38.2,422(-4),尾関 知人,10,0,25.5,1.9,南
8,9,ショウリオウ,牡2,55,菅原 隆一,38.7,440(0),武市 康男,13,0,25.5,1.9,南
9,12,グラスピエーナ,牝2,54,木幡 巧也,38.7,450(-4),田中 清隆,12,0,25.5,1.9,南
10,4,セイカタチバナ,牡2,55,石川 裕紀人,40.2,460(+2),南田 美知雄,8,0,25.5,1.9,南
11,2,キャストロペトラ,牡2,55,吉田 豊,40.4,450(-4),粕谷 昌央,9,0,25.5,1.9,南
12,13,トレンディー,牡2,54,☆野中 悠太郎,39.3,448(-8),小西 一男,11,0,25.5,1.9,南
13,3,ニシノコードブルー,牡2,55,戸崎 圭太,39.7,448(+4),小桧山 悟,7,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/5,2R,,,,,,,,,,,,
1,7,ペルラネーラ,牝2,54,戸崎 圭太,33.6,446(-6),国枝 栄,1,0,25.5,1.9,南
2,6,マスターワーク,牝2,54,三浦 皇成,34.1,480(+2),鹿戸 雄一,3,0,25.5,1.9,南
3,3,シェクロエ,牝2,54,M.デムーロ,34.2,432(0),小野 次郎,2,0,25.5,1.9,南
4,4,ウインアステロイド,牡2,55,内田 博幸,34.6,444(0),和田 正一郎,5,0,25.5,1.9,南
5,8,アイルショウユー,牝2,54,大野 拓弥,34.6,428(0),岩戸 孝樹,4,0,25.5,1.9,南
6,1,ベルブション,牡2,55,北村 宏司,34.4,452(-6),青木 孝文,7,0,25.5,1.9,南
7,10,アコルドエール,牡2,55,石川 裕紀人,34.7,482(-2),中川 公成,6,0,25.5,1.9,南
8,11,ジャジャウマ,牝2,51,▲岩田 望来,34.3,420(0),深山 雅史,10,0,25.5,1.9,南
9,2,ジャストワン,牡2,54,☆野中 悠太郎,34.7,492(-10),小西 一男,9,0,25.5,1.9,南
10,9,コスモフラッター,牡2,55,柴田 大知,35,468(-8),金成 貴史,11,0,25.5,1.9,南
11,5,ザビーチ,牝2,54,田中 勝春,35.7,448(-8),高市 圭二,8,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/5,3R,,,,,,,,,,,,
1,14,チェーンオブラブ,牝2,54,三浦 皇成,33.7,462(-4),小笠 倫弘,2,0,25.5,1.9,南
2,12,タイキラッシュ,牡2,55,大野 拓弥,33.3,500(+14),高木 登,5,0,25.5,1.9,南
3,10,メルテッドハニー,牝2,51,▲岩田 望来,34.3,396(+8),大江原 哲,6,0,25.5,1.9,南
4,7,ガストロノミスト,牡2,55,石橋 脩,33.8,476(0),小崎 憲,4,0,25.5,1.9,南
5,11,シャチ,牡2,55,吉田 豊,33.8,436(-8),小桧山 悟,9,0,25.5,1.9,南
6,5,ザンセツ,牡2,55,内田 博幸,34,432(0),古賀 慎明,3,0,25.5,1.9,南
7,4,コスモカンツォーネ,牡2,55,柴田 大知,34.9,438(-8),高橋 祥泰,10,0,25.5,1.9,南
8,3,ヴォールヴィコント,牝2,54,戸崎 圭太,34.4,488(+4),上原 博之,1,0,25.5,1.9,南
9,9,ミツカネショコラ,牝2,54,武士沢 友治,33.6,400(-8),清水 英克,8,0,25.5,1.9,南
10,13,ロードカバチ,牡2,54,☆野中 悠太郎,34,426(-4),菊川 正達,11,0,25.5,1.9,南
11,1,ピュアハート,牝2,52,△木幡 育也,34.3,498(-16),杉浦 宏昭,13,0,25.5,1.9,南
12,8,テルミーユアラヴ,牝2,54,石川 裕紀人,35.8,452(0),相沢 郁,7,0,25.5,1.9,南
13,2,コーリンマジェリー,牝2,54,木幡 巧也,35.9,440(-10),小野 次郎,12,0,25.5,1.9,南
14,6,リトルウィジー,牝2,53,☆武藤 雅,35.2,402(+2),中野 栄治,14,0,25.5,1.9,南
,,,,,,,,,,,,,
2019/10/5,4R,,,,,,,,,,,,
1,5,タイアンキチジツ,牝2,51,▲岩田 望来,38.9,482(初出走),中舘 英二,7,0,25.5,1.9,南
2,16,アールウェルス,牡2,55,藤岡 佑介,39.4,510(初出走),牧浦 充徳,3,0,25.5,1.9,南
3,11,スズカゴウケツ,牡2,55,田中 勝春,38,458(初出走),伊藤 圭三,6,0,25.5,1.9,南
4,6,ヌンカプト,牡2,55,江田 照男,39.5,442(初出走),矢野 英一,2,0,25.5,1.9,南
5,4,マルガイキンバリープロセス,牡2,55,石橋 脩,38.4,504(初出走),手塚 貴久,5,0,25.5,1.9,南
6,8,マルガイアメリカンニーニャ,牝2,54,戸崎 圭太,40.2,512(初出走),石坂 公一,1,0,25.5,1.9,南
7,3,ネオデレヤ,牡2,54,☆野中 悠太郎,38.6,474(初出走),小西 一男,14,0,25.5,1.9,南
8,2,フジコウキ,牡2,55,松岡 正海,37.6,474(初出走),高市 圭二,12,0,25.5,1.9,南
9,14,ヘニービュット,牡2,55,小崎 綾也,41.5,502(初出走),池上 昌和,8,0,25.5,1.9,南
10,1,クリアミッション,牡2,55,大庭 和弥,39,500(初出走),土田 稔,9,0,25.5,1.9,南
11,13,ティアップレディー,牝2,54,杉原 誠人,37.9,454(初出走),奥平 雅士,11,0,25.5,1.9,南
12,15,ラブオーソ,牝2,51,▲大塚 海渡,40.6,434(初出走),和田 雄二,16,0,25.5,1.9,南
13,10,ジニアテソーロ,牝2,52,△木幡 育也,41.8,446(初出走),奥平 雅士,4,0,25.5,1.9,南
