着順,枠,馬番,馬名,性別,年齢,馬体重,増減,騎手,調教師,負担重量,単勝人気,推定上り
1,3,6,リスグラシュー,牝,5,468,0,D.レーン,矢作 芳人,55,2,35.2
2,5,10,サートゥルナーリア,牡,3,504,2,C.スミヨン,角居 勝彦,55,3,34.9
3,4,7,ワールドプレミア,牡,3,492,8,武 豊,友道 康夫,55,4,35.8
4,3,5,フィエールマン,牡,4,482,0,池添 謙一,手塚 貴久,57,6,34.9
5,6,11,キセキ,牡,5,506,0,R.ムーア,角居 勝彦,57,7,35.8
6,8,16,シュヴァルグラン,牡,7,470,6,福永 祐一,友道 康夫,57,14,37.6
7,4,8,レイデオロ,牡,5,494,8,三浦 皇成,藤沢 和雄,57,9,38.4
8,7,14,ヴェロックス,牡,3,494,4,川田 将雅,中内田 充正,55,8,36.2
9,5,9,アーモンドアイ,牝,4,486,6,C.ルメール,国枝 栄,55,1,33.8
10,2,3,エタリオウ,牡,4,462,0,横山 典弘,友道 康夫,57,10,37.7
11,7,13,アルアイン,牡,5,526,0,松山 弘平,池江 泰寿,57,15,35.4
12,1,2,スワーヴリチャード,牡,5,526,10,O.マーフィー,庄野 靖志,57,5,36.5
13,2,4,スティッフェリオ,牡,5,456,8,丸山 元気,音無 秀孝,57,13,35.9
14,8,15,アエロリット,牝,5,514,-2,津村 明秀,菊沢 隆徳,55,12,34.8
15,1,1,スカーレットカラー,牝,4,474,-12,岩田 康誠,高橋 亮,55,11,33.6
16,6,12,クロコスミア,牝,6,444,-4,藤岡 佑介,西浦 勝一,55,16,34.8
