Frame,Horse_Num,Horse_Name,Sex,Age,Burden_Weight,Jockey,Trainer,Horse_Weight,Weight_Gain_or_Loss,odds,Winning_Popularity
1,1,ブラックマジック,牡,3,56.0,マーフィー,戸田,440,0,2.7,1
1,2,ボールドベーカ,牡,3,56.0,杉原,星野,482,14,183.2,14
2,3,コスモイダマシネ,牡,3,56.0,丹内,武藤,458,8,63.3,12
2,4,セイウンクルーズ,牡,3,56.0,武藤,武藤,524,-12,29.1,10
3,5,エルバルーチェ,牝,3,54.0,田辺,小島,450,-4,7.5,4
3,6,クリノファイヤー,牝,3,54.0,柴田善,本間,462,-2,179.2,13
4,7,スピッツェンバーグ,牡,3,56.0,ミナリク,武井,466,8,14.6,5
4,8,ネイザンロード,牡,3,56.0,北村宏,木村,510,6,20.6,8
5,9,ドリームメッセージ,牡,3,56.0,丸山,中川,444,2,6.1,3
5,10,レッドヴァレリー,牡,3,56.0,横山武,小島,484,-6,27.8,9
6,11,ヤシャマル,牡,3,54.0,菅原明,尾形,488,4,4.1,2
6,12,テリオスベル,牝,3,54.0,松岡,田島,422,-4,224.1,16
7,13,ダイワミラクル,牡,3,56.0,内田博,鹿戸,502,6,18.8,6
7,14,ゴールドゴールデン,牡,3,56.0,横山和,藤原辰,458,0,55.4,11
8,15,ファーストカム,牝,3,54.0,柴田大,菊川,460,4,203.0,15
8,16,シャトン,牝,3,53.0,野中,高橋文,456,6,20.1,7
